algorithm,mode,dataset,constraint_mode,evaluation_target,successful_runs,runtime_seconds_mean,runtime_seconds_std,edge_count_predicted_mean,edge_count_predicted_std,edge_count_true_mean,edge_count_true_std,shd_mean,shd_std,f1_directed_mean,f1_directed_std,f1_skeleton_mean,f1_skeleton_std,precision_mean,precision_std,recall_mean,recall_std,literature_agreement_count_mean,literature_agreement_count_std,literature_violation_count_mean,literature_violation_count_std,literature_alignment_score_mean,literature_alignment_score_std,forbidden_constraints_count_mean,forbidden_constraints_count_std,required_constraints_count_mean,required_constraints_count_std
lingam,constrained,advisor_dummy,none,ontology_derived_reference_dag,5,13.70032,0.293556514150172,12.2,5.449770637375485,46.0,0.0,58.2,5.449770637375485,0.0,0.0,0.0063492063492063405,0.014197256999998645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lingam,unconstrained,advisor_dummy,none,ontology_derived_reference_dag,5,13.87526,0.5863898771295426,12.2,5.449770637375485,46.0,0.0,58.2,5.449770637375485,0.0,0.0,0.0063492063492063405,0.014197256999998645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears_postproc,constrained,advisor_dummy,none,ontology_derived_reference_dag,5,0.02264,0.005960117448507203,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
notears_postproc,unconstrained,advisor_dummy,none,ontology_derived_reference_dag,5,0.5852,1.2566202887109534,0.0,0.0,46.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pc,constrained,advisor_dummy,none,ontology_derived_reference_dag,5,1.17192,0.28113551358730887,83.2,6.260990336999413,46.0,0.0,127.6,7.334848328356899,0.012717300660722259,0.013879523185745478,0.043429724099829835,0.01304865062456318,0.01005461545348732,0.011258313656516155,0.01739130434782608,0.01818826144639294,0.8,0.8366600265340756,0.0,0.0,0.5999999994999999,0.5477225570487306,0.0,0.0,0.0,0.0
pc,unconstrained,advisor_dummy,none,ontology_derived_reference_dag,5,1.52826,1.1156997346956752,83.2,6.260990336999413,46.0,0.0,127.6,7.334848328356899,0.012717300660722259,0.013879523185745478,0.043429724099829835,0.01304865062456318,0.01005461545348732,0.011258313656516155,0.01739130434782608,0.01818826144639294,0.8,0.8366600265340756,0.0,0.0,0.5999999994999999,0.5477225570487306,0.0,0.0,0.0,0.0
