dataset,mode,seed,threshold,edge_count,edge_count_true,f1_directed,precision,recall,shd,violations,constraint_cells_changed,selected
synthetic_n2000,unconstrained,43,0.285,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.3,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.302,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.304,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.306,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.308,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.31,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.312,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.315,58,65,0.3089430894308943,0.3275862068965517,0.2923076923076923,85,2,0,
synthetic_n2000,unconstrained,43,0.32,57,65,0.2950819672131147,0.3157894736842105,0.2769230769230769,86,2,0,
synthetic_n2000,unconstrained,43,0.325,57,65,0.2950819672131147,0.3157894736842105,0.2769230769230769,86,2,0,
synthetic_n2000,unconstrained,43,0.33,57,65,0.2950819672131147,0.3157894736842105,0.2769230769230769,86,2,0,
synthetic_n2000,unconstrained,43,0.335,56,65,0.2975206611570248,0.3214285714285714,0.2769230769230769,85,1,0,
synthetic_n2000,unconstrained,43,0.34,56,65,0.2975206611570248,0.3214285714285714,0.2769230769230769,85,1,0,
synthetic_n2000,unconstrained,43,0.35,56,65,0.2975206611570248,0.3214285714285714,0.2769230769230769,85,1,0,
synthetic_n2000,unconstrained,43,0.4,56,65,0.2975206611570248,0.3214285714285714,0.2769230769230769,85,1,0,
synthetic_n2000,unconstrained,43,0.5,51,65,0.293103448275862,0.3333333333333333,0.2615384615384615,82,1,0,
synthetic_n2000,unconstrained,44,0.001,982,65,0.1165234001910219,0.0621181262729124,0.9384615384615383,925,32,0,
synthetic_n2000,unconstrained,44,0.005,926,65,0.106962663975782,0.0572354211663066,0.8153846153846154,885,30,0,
synthetic_n2000,unconstrained,44,0.01,809,65,0.102974828375286,0.0556242274412855,0.6923076923076923,784,26,0,
synthetic_n2000,unconstrained,44,0.02,632,65,0.1119081779053084,0.0617088607594936,0.6,619,19,0,
synthetic_n2000,unconstrained,44,0.03,496,65,0.1212121212121212,0.0685483870967741,0.5230769230769231,493,16,0,
synthetic_n2000,unconstrained,44,0.05,321,65,0.1502590673575129,0.0903426791277258,0.4461538461538462,328,11,0,
synthetic_n2000,unconstrained,44,0.075,188,65,0.1976284584980236,0.1329787234042553,0.3846153846153846,203,8,0,
