algorithm,mode,dataset,evaluation_mode,evaluation_target,constraint_mode,forbidden_constraints_count,required_constraints_count,seed,runtime_seconds,status,edge_count_predicted,edge_count_true,shd,f1_directed,f1_skeleton,precision,recall,literature_agreement_count,literature_violation_count,literature_alignment_score
deci_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,42,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,43,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,44,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,45,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,46,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,42,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,43,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,44,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,45,0.0,skipped: --skip-deci,,,,,,,,,,
deci_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,,,46,0.0,skipped: --skip-deci,,,,,,,,,,
pc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,42,3.4922,success,83,46,129,0.0,0.031007751937984503,0.0,0.0,0,0,0.0
pc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,43,1.1912,success,85,46,129,0.015267175572519083,0.061068702290076333,0.011764705882352941,0.021739130434782608,1,0,0.9999999989999999
pc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,44,0.8516,success,85,46,131,0.0,0.030534351145038167,0.0,0.0,0,0,0.0
pc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,45,1.2758,success,90,46,134,0.014705882352941176,0.044117647058823525,0.011111111111111112,0.021739130434782608,1,0,0.9999999989999999
pc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,46,0.8305,success,73,46,115,0.03361344537815126,0.05042016806722689,0.0273972602739726,0.043478260869565216,2,0,0.9999999995
pc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,42,1.4421,success,83,46,129,0.0,0.031007751937984503,0.0,0.0,0,0,0.0
pc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,43,1.2548,success,85,46,129,0.015267175572519083,0.061068702290076333,0.011764705882352941,0.021739130434782608,1,0,0.9999999989999999
pc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,44,0.8856,success,85,46,131,0.0,0.030534351145038167,0.0,0.0,0,0,0.0
pc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,45,1.4143,success,90,46,134,0.014705882352941176,0.044117647058823525,0.011111111111111112,0.021739130434782608,1,0,0.9999999989999999
pc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,46,0.8628,success,73,46,115,0.03361344537815126,0.05042016806722689,0.0273972602739726,0.043478260869565216,2,0,0.9999999995
notears_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,42,2.8331,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,43,0.0195,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,44,0.0297,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,45,0.0213,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,unconstrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,46,0.0224,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,42,0.0194,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,43,0.0201,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,44,0.0192,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,45,0.0213,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
notears_postproc,constrained,advisor_dummy,reference_dag_eval,ontology_derived_reference_dag,none,0,0,46,0.0332,success,0,46,46,0.0,0.0,0.0,0.0,0,0,0.0
