scope_1_ghg_emissions,scope_2_ghg_emissions,scope_3_ghg_emissions,emission_reduction_policy,renewable_energy_share,community_investment,diversity_women_representation,health_safety,board_strategy_esg_oversight,sustainable_finance_green_financing,total_revenue,reporting_quality
73000.0,1.0,48800000.0,4.0,0.977,40100000.0,0.44,4.0,4.0,34227000000.0,15405000000.0,4.0
60241.9,9.3,84.0,4.0,0.5,60000000.0,0.45,2.0,4.0,17000000000.0,373400000000.0,4.0
2723.7,620.0,3582302.6,4.0,0.636,1604000.0,0.3936,4.0,4.0,461000000.0,2077860000.0,4.0
2963.0,2963.0,1.3,4.0,0.977,86200.0,0.25,4.0,4.0,1350000000.0,2880000000.0,4.0
201.0,1753.0,7338.0,4.0,0.53,7100000.0,0.51,4.0,4.0,365000000000.0,52445000000.0,4.0
1433.0,2067.0,3103.0,4.0,1.0,1310000.0,0.389,4.0,4.0,59800000000.0,5707000000.0,4.0
1480.0,485.0,1659.0,4.0,0.977,515000.0,0.47,4.0,4.0,1.46,1196.0,1.0
18735.0,26079.0,1286521.0,4.0,0.97,52600000.0,0.46299999999999997,2.0,4.0,279000000000.0,28876000000.0,4.0
374.0,6.0,959.0,4.0,0.977,5300000.0,0.45,3.0,4.0,103000000.0,603000000.0,4.0
2051.81,1515.15,370186.0,3.0,0.492,1323375.0,0.772,3.0,4.0,2126000000.0,1173071000.0,3.0
20813.67,7658.97,54870.51,4.0,0.977,3800000.0,0.461,4.0,4.0,7380000000.0,3189000000.0,4.0
18701.0,13153.0,28300000.0,4.0,0.91,31700000.0,0.589,2.0,4.0,2950000000.0,10552000000.0,4.0
4631.2,2582.0,4423.4,3.0,0.977,5300000.0,0.6,3.0,3.0,1256000000.0,2880000000.0,3.0
5067100.0,1607100.0,24313100.0,4.0,0.9804,17000000.0,0.65,4.0,4.0,2180000000.0,2803000000.0,4.0
281.0,0.0,941.0,4.0,0.71,879030.0,0.55,4.0,4.0,20800000.0,1893000000.0,4.0
13842.0,9252.0,79915.0,4.0,1.0,19.0,0.63,2.0,4.0,555.0,46254000000.0,4.0
20.0,444.0,2885432.0,4.0,1.0,997402.0,0.375,4.0,4.0,606000000.0,427000000.0,4.0
1.301,5633.0,8.5464,4.0,0.977,75.0,1.0,4.0,4.0,278.0,1081.0,4.0
16918.0,167174.0,1090280.0,3.0,0.584,107300000.0,0.341,3.0,4.0,294400000000.0,66099999999.99999,1.0
777.74,56.72,1620828.0,4.0,1.0,19727680.0,0.493,4.0,4.0,3440000000.0,1256916000.0,4.0
2834.0,1781.0,133488.5,4.0,0.977,5300000.0,0.45,3.0,4.0,350000000.0,5589733000.0,4.0
6.0,8.0,14.0,3.0,0.98,18700000.0,0.31,3.0,3.0,115000000000.0,22575000000.0,3.0
50475.0,18591.0,55893.0,4.0,0.882,101100000.0,0.54,4.0,4.0,11000000000.0,25900000000.0,4.0
2834.0,1781.0,133488.5,3.0,0.977,5300000.0,0.45,3.0,3.0,3750000000.0,3430153.0,3.0
2834.0,1781.0,133488.5,3.0,0.977,5300000.0,0.45,3.0,3.0,3750000000.0,5620000000.0,4.0
29047.0,3995.0,56081123.0,4.0,0.977,20300000.0,0.57,4.0,4.0,19300000000.0,11224000000.0,4.0
2987.0,1235.0,13044.0,3.0,0.977,144190.0,0.48100000000000004,3.0,3.0,38900000000.0,724400000000.0,3.0
2834.0,1781.0,81366.0,4.0,0.01,5300000.0,0.45,3.0,4.0,4795000000.0,2880000000.0,4.0
2834.0,1781.0,133488.5,4.0,0.977,306430000.0,0.54,3.0,4.0,2116000000.0,1735400000.0,3.0
13856.0,1809.0,10367000.0,4.0,0.924,3000000.0,0.45,3.0,3.0,1600000000.0,7255000000.0,3.0
5548.9,7326.0,12.3,4.0,0.967,1119000.0,0.51,4.0,4.0,42484.0,3781.0,4.0
2034.0,835.0,3522000000.0,4.0,0.977,1200000.0,0.257,3.0,4.0,80600000000.0,2880000000.0,4.0
281.0,2017.0,1443.0,3.0,0.977,342500.0,0.5891,3.0,3.0,22610000000.0,917030126.0,3.0
3675.3,1146.3,2609423.7,4.0,0.77,475000.0,0.387,4.0,4.0,713200000.0,1438700000.0,4.0
2765.0,2765.0,2332000.0,4.0,0.42,137000.0,0.22,4.0,4.0,108000000.0,646100000.0,4.0
2834.0,1781.0,133488.5,3.0,0.977,5300000.0,0.45,3.0,3.0,3750000000.0,11900000.0,3.0
2885.0,43.0,3451.0,4.0,1.0,6500000.0,0.42,2.0,4.0,200000000.0,2640000000.0,4.0
24201.0,229954.0,98289.0,4.0,1.0,160000000.0,0.4,4.0,4.0,820000000000.0,54143000000.0,4.0
2834.0,460.51,653290.0,3.0,1.0,19000.0,0.486,3.0,3.0,5200800000.0,456433000.0,3.0
1597.0,2.0,58337.0,4.0,0.977,17500000.0,0.31,4.0,4.0,1981000000.0,2554000000.0,4.0
12922.0,51829.0,603827.0,4.0,1.0,11100000.0,0.4,2.0,4.0,29300000000.0,14752000000.0,4.0
29.58,0.0,33.8,3.0,0.977,125000.0,0.405,3.0,3.0,24199000000.0,246000000.0,4.0
7147.0,96117.0,19825.0,4.0,1.0,36300000.0,0.45,2.0,4.0,52000000000.0,17502000000.0,4.0
1300.0,726.0,2101.0,3.0,0.977,1326000.0,0.49200000000000005,3.0,3.0,2500000000.0,1300000000.0,3.0
1142.0,3116.0,16114.0,4.0,1.0,216000.0,0.52,2.0,4.0,135000000000.0,11743000000.0,4.0
1673.0,22.0,1103.0,4.0,0.99,850000.0,0.478,4.0,4.0,25380000.0,602800000.0,4.0
187.0,95.0,5220000.0,4.0,0.992,4900000.0,0.31,4.0,4.0,6600000000.0,4501000000.0,4.0
31270.0,39379.0,4618.0,4.0,0.21,5000000000.0,0.16,4.0,4.0,656000000000.0,2224584000000.0,4.0
1238.41,0.0,18532127.85,4.0,1.0,4000000.0,0.58,4.0,4.0,2700000000.0,2607000000.0,4.0
16918.0,167174.0,1090280.0,4.0,0.584,105000000.0,0.341,4.0,4.0,83700000000.0,66058000000.0,4.0
12403.0,33526.0,43450.0,4.0,0.48,10519908.0,0.35,4.0,4.0,11049.0,14091.0,4.0
65884.68,21630.76,3881230.0,4.0,0.977,5300000.0,0.4181,4.0,4.0,7000000000.0,3731510000.0,4.0
41198.54,62839.8,1320000.0,4.0,0.977,1993372.9,0.348,4.0,4.0,4374277000.0,4612341400.0,4.0
12922.0,51829.0,603827.0,4.0,1.0,11100000.0,0.4,2.0,4.0,29300000000.0,14752000000.0,4.0
2834.0,1781.0,2483388.0,4.0,0.977,923.0,0.52,4.0,4.0,1250000000.0,1961000000.0,4.0
2834.0,1781.0,133488.5,3.0,0.977,5300000.0,0.45,4.0,3.0,3750000000.0,2880000000.0,4.0
24777.0,75743.0,67478.0,3.0,0.977,1000000000.0,0.45,3.0,3.0,300000000000.0,25100000000.0,3.0
7559.0,50878.0,293296.0,4.0,0.977,25800000.0,0.33,3.0,4.0,650000000000.0,2880000000.0,4.0
692.0,3678.0,15407.0,4.0,0.999,119000000.0,0.61,4.0,4.0,86460000000.0,73057000000.0,4.0
48522.0,48522.0,168688.0,4.0,0.977,0.956,0.626,4.0,3.0,4.0,292300000000.0,4.0
2261.0,481.0,10409489.0,4.0,0.977,1354640.0,0.5429999999999999,4.0,4.0,1300000000.0,1400000000.0,4.0
26072.0,21399.0,29683.0,4.0,0.904,59600000.0,0.42,4.0,4.0,82000000000.0,42166000000.0,4.0
428.67,188.93,133488.5,4.0,1.0,46191.23,0.352,4.0,4.0,154800000.0,2880000000.0,4.0
308.47,127.347,6.334,3.0,1.0,664000.0,0.18,4.0,3.0,3750000000.0,14615000000.0,3.0
2834.0,1781.0,133488.5,3.0,0.977,5300000.0,0.604,3.0,3.0,500000000.0,525500000.0,3.0
