no,lei_mfi_code_for_branches,type,banks,ground_for_significance,scope_1_emissions_tco2e,scope_2_emissions_tco2e,scope_3_emissions_tco2e,emission_reduction_policy_score,renewable_energy_share,community_investment_eur,diversity_representation,health_safety_score,board_strategy_esg_oversight_score,green_financing_eur,total_revenue_eur,reporting_quality_score
28,9CZ7TVMR36CYD5TZBS50,CI,Banque Internationale à Luxembourg S.A.,Size (Total assets EUR 30-50 bn),1526.0,361.0,12643.0,4.0,0.675,99720.0,0.47,4.0,4.0,442700000.0,762000000.0,4.0
29,2G5BKIC2CB69PRJH1W31,CI,"Barclays Bank Ireland plc
",Size (Total assets EUR 100-150 bn),250.0,50.0,,4.0,1.0,,0.27,4.0,4.0,23489361702.12766,1275000000.0,4.0
30,529900S9YO2JHTIIDG38,FH,BAWAG Group AG,Size (Total assets EUR 50-75 bn),1331.0,1009.0,284000.0,4.0,1.0,1100000.0,0.44,3.0,3.0,1600000000.0,3120100000.0,4.0
31,VDYMYTQGZZ6DU0912C88,CI,Bayerische Landesbank,Size (Total assets EUR 150-300 bn),1286.0,410.0,1717.0,4.0,0.52,1140000.0,0.274,4.0,4.0,1496000000.0,1441000000.0,4.0
32,A5GWLFH3KM7YV2SFQL84,CI,Belfius Banque SA ; Belfius Bank NV ; Belfius Bank SA,Size (Total assets EUR 150-300 bn),5343.0,79.0,19714932.0,4.0,0.95,37000000.0,0.409,4.0,4.0,2500000000.0,1115000000.0,4.0
33,529900GGYMNGRQTDOO93,CI,BNG Bank N.V.,Size (Total assets EUR 100-150 bn),146.0,59.0,2667000000.0,4.0,1.0,120000000.0,0.3417,4.0,4.0,6300000000.0,516000000.0,4.0
34,R0MUWSFPU8MPRO8K5P83,CI,BNP Paribas S.A.,"Size (Total assets above EUR 1,000 bn)",0.31,0.31,0.715,3.0,0.65,90000000.0,0.371,4.0,4.0,184000000000.0,46900000000.0,3.0
35,549300FH0WJAPEHTIQ77,CI-B,BofA Securities Europe SA,Size (Total assets EUR 100-150 bn),66775.0,634510.0,2010264.0,4.0,1.0,148684255.31914893,,,4.0,483442553.1914893,6650000000.0,4.0
36,9695005MSX1OYEMGDF46,CI,BPCE S.A.,"Size (Total assets EUR 500-1,000 bn)",31740.0,74060.0,423200.0,4.0,0.97,25100000000.0,,4.0,4.0,11300000000.0,22200000000.0,4.0
37,N747OI7JINV7RUUH6190,CI,BPER Banca S.p.A.,Size (Total assets EUR 150-300 bn),12195.0,26457.0,3649550.0,3.0,1.0,,0.25,3.0,4.0,3800000000.0,4920000000.0,1.0
38,969500STN7T9MRUMJ267,CI,Bpifrance,Size (Total assets EUR 100-150 bn),7600.0,360.7,55600.0,4.0,1.0,456000000.0,0.5559000000000001,4.0,4.0,7100000000.0,2014000000.0,4.0
39,TO822O0VT80V06K0FH57,CI,"Caixa Geral de Depósitos, S.A.",Size (Total assets EUR 75-100 bn),,,,4.0,,39900000.0,0.348,,4.0,1300000000.0,1291000000.0,4.0
40,7CUNS533WID6K7DGFI87,CI,"CaixaBank, S.A.","Size (Total assets EUR 500-1,000 bn)",8423.34,0.0,221863910.0,4.0,1.0,538000000.0,0.4,4.0,4.0,60143000000.0,15140000000.0,4.0
